item_name,base_price,freshness,days_old,stock,demand_score,market_noise,time_of_day,season,is_weekend,dynamic_price,price_change,scenario,created_at
tomato,30,10.0,5,6,0.5,0.84,evening,winter,False,15.16,-14.84,clearance_low_freshness,2026-05-11T12:22:38.311702
potato,20,88.0,4,76,1.93,1.0,evening,summer,True,29.0,9.0,normal_market,2026-05-11T12:22:38.311727
cabbage,28,76.0,3,49,1.38,0.92,morning,summer,True,31.1,3.1,weekend_peak_demand,2026-05-11T15:22:38.311747
banana,40,28.0,6,23,0.6,0.92,morning,winter,True,23.67,-16.33,weekend_peak_demand,2026-05-09T18:22:38.311767
banana,40,40.0,5,81,1.13,0.97,morning,summer,True,27.07,-12.93,weekend_peak_demand,2026-05-13T01:22:38.311789
onion,25,92.0,2,17,1.84,1.04,evening,summer,False,36.25,11.25,scarcity_price_surge,2026-05-12T02:22:38.311810
tomato,30,0,6,92,0.41,1.16,evening,summer,False,13.5,-16.5,waste_prevention_discount,2026-05-10T12:22:38.311828
onion,25,76.0,6,98,1.16,1.12,afternoon,monsoon,True,24.83,-0.17,normal_market,2026-05-11T20:22:38.311864
carrot,35,40.0,6,104,0.91,1.12,evening,summer,True,26.35,-8.65,normal_market,2026-05-09T14:22:38.311877
potato,20,82.0,6,120,1.32,0.9,evening,monsoon,True,18.76,-1.24,normal_market,2026-05-13T06:22:38.311889
banana,40,100.0,0,113,1.32,1.15,evening,monsoon,False,53.58,13.58,normal_market,2026-05-12T07:22:38.311903
banana,40,88.0,1,25,1.45,0.91,afternoon,monsoon,False,46.11,6.11,normal_market,2026-05-10T14:22:38.311916
banana,40,64.0,3,94,1.38,1.09,afternoon,summer,True,37.76,-2.24,normal_market,2026-05-09T09:22:38.311929
carrot,35,50.0,5,112,0.94,1.15,evening,monsoon,False,29.75,-5.25,normal_market,2026-05-13T05:22:38.311942
cabbage,28,60.0,5,118,1.23,0.91,evening,monsoon,True,22.19,-5.81,normal_market,2026-05-12T22:22:38.311955
carrot,35,100.0,0,120,1.97,0.94,evening,monsoon,True,45.14,10.14,normal_market,2026-05-12T13:22:38.311967
apple,120,90.0,2,9,1.39,0.96,morning,summer,False,174.0,54.0,normal_market,2026-05-10T08:22:38.311979
carrot,35,60.0,4,96,1.45,1.16,afternoon,winter,True,41.02,6.02,normal_market,2026-05-11T00:22:38.311992
banana,40,88.0,1,8,1.74,0.93,evening,monsoon,True,58.0,18.0,scarcity_price_surge,2026-05-10T11:22:38.312004
carrot,35,40.0,6,79,1.22,1.02,morning,monsoon,False,31.17,-3.83,normal_market,2026-05-09T23:22:38.312016
carrot,35,90.0,1,78,1.73,0.92,evening,summer,True,47.9,12.9,normal_market,2026-05-09T08:22:38.312029
carrot,35,50.0,5,95,0.96,1.14,evening,summer,True,29.67,-5.33,normal_market,2026-05-10T12:22:38.312040
tomato,30,28.0,4,55,0.61,1.09,morning,summer,False,21.1,-8.9,normal_market,2026-05-09T11:22:38.312052
onion,25,80.0,5,34,1.26,0.91,evening,monsoon,True,28.08,3.08,normal_market,2026-05-11T01:22:38.312064
tomato,30,64.0,2,42,1.57,0.89,morning,winter,True,31.12,1.12,weekend_peak_demand,2026-05-09T23:22:38.312076
potato,20,88.0,4,82,1.51,1.09,evening,monsoon,False,24.84,4.84,normal_market,2026-05-13T02:22:38.312088
potato,20,91.0,3,77,1.24,1.06,afternoon,winter,True,25.84,5.84,normal_market,2026-05-09T13:22:38.312100
apple,120,95.0,1,67,1.86,0.97,evening,summer,True,174.0,54.0,normal_market,2026-05-10T14:22:38.312111
apple,120,100.0,0,18,1.67,0.99,evening,monsoon,False,174.0,54.0,scarcity_price_surge,2026-05-11T05:22:38.312122
potato,20,100.0,0,22,1.78,1.05,morning,monsoon,False,29.0,9.0,normal_market,2026-05-10T17:22:38.312133
banana,40,88.0,1,24,1.25,0.96,afternoon,summer,False,46.07,6.07,normal_market,2026-05-12T02:22:38.312145
apple,120,80.0,4,83,1.44,1.09,morning,monsoon,False,135.13,15.13,normal_market,2026-05-11T11:22:38.312156
potato,20,91.0,3,98,1.22,1.03,morning,monsoon,True,21.5,1.5,weekend_peak_demand,2026-05-11T04:22:38.312169
banana,40,64.0,3,39,0.94,0.84,evening,winter,False,33.78,-6.22,normal_market,2026-05-13T06:22:38.312181
mango,150,70.0,2,84,1.51,1.12,afternoon,monsoon,True,157.25,7.25,normal_market,2026-05-11T18:22:38.312195
cabbage,28,92.0,1,25,1.69,0.89,evening,monsoon,True,37.16,9.16,normal_market,2026-05-10T12:22:38.312207
tomato,30,64.0,2,120,1.71,1.24,evening,monsoon,True,43.5,13.5,temporary_market_spike,2026-05-12T09:22:38.312219
mango,150,40.0,4,67,0.9,1.19,evening,monsoon,True,145.86,-4.14,temporary_market_spike,2026-05-10T20:22:38.312232
banana,40,88.0,1,90,1.18,0.91,afternoon,summer,False,35.11,-4.89,normal_market,2026-05-12T13:22:38.312244
onion,25,84.0,4,30,1.48,1.07,morning,winter,True,34.96,9.96,weekend_peak_demand,2026-05-11T21:22:38.312256
apple,120,85.0,3,116,1.23,1.0,afternoon,winter,False,115.18,-4.82,normal_market,2026-05-09T07:22:38.312268
cabbage,28,100.0,0,61,1.47,0.9,morning,monsoon,False,36.23,8.23,normal_market,2026-05-12T19:22:38.312280
banana,40,52.0,4,62,1.06,1.05,evening,monsoon,True,39.9,-0.1,normal_market,2026-05-09T23:22:38.312293
mango,150,25.0,5,89,0.82,0.9,evening,summer,True,90.08,-59.92,waste_prevention_discount,2026-05-10T12:22:38.312305
potato,20,91.0,3,68,2.0,1.02,evening,monsoon,True,29.0,9.0,normal_market,2026-05-10T14:22:38.312319
cabbage,28,100.0,0,41,1.61,1.03,morning,summer,True,40.6,12.6,weekend_peak_demand,2026-05-12T02:22:38.312331
apple,120,75.0,5,75,1.25,1.03,morning,summer,False,143.0,23.0,normal_market,2026-05-12T04:22:38.312344
potato,20,82.0,6,98,1.29,0.93,afternoon,winter,False,17.81,-2.19,normal_market,2026-05-11T16:22:38.312356
carrot,35,80.0,2,19,1.52,0.94,evening,monsoon,True,50.07,15.07,normal_market,2026-05-12T22:22:38.312368
apple,120,100.0,0,16,2.05,0.92,evening,winter,False,174.0,54.0,scarcity_price_surge,2026-05-12T13:22:38.312379
banana,40,52.0,4,41,1.33,1.02,afternoon,winter,True,38.74,-1.26,normal_market,2026-05-11T21:22:38.312391
banana,40,88.0,1,91,1.47,1.04,evening,monsoon,False,46.91,6.91,normal_market,2026-05-10T15:22:38.312402
mango,150,85.0,1,44,1.13,0.91,evening,winter,False,167.72,17.72,normal_market,2026-05-13T06:22:38.312414
tomato,30,0,6,90,0.59,1.16,afternoon,monsoon,True,14.77,-15.23,waste_prevention_discount,2026-05-10T15:22:38.312427
potato,20,82.0,6,92,1.76,1.08,evening,winter,False,25.23,5.23,normal_market,2026-05-09T15:22:38.312440
carrot,35,70.0,3,6,1.73,1.1,evening,winter,True,50.75,15.75,scarcity_price_surge,2026-05-12T03:22:38.312451
cabbage,28,60.0,5,36,1.0,0.94,afternoon,summer,True,24.21,-3.79,normal_market,2026-05-12T08:22:38.312464
onion,25,88.0,3,108,1.68,1.05,afternoon,summer,True,28.92,3.92,normal_market,2026-05-12T02:22:38.312475
carrot,35,40.0,6,8,1.31,1.02,morning,winter,False,43.37,8.37,normal_market,2026-05-12T15:22:38.312488
potato,20,85.0,5,80,1.67,1.04,evening,winter,False,29.0,9.0,normal_market,2026-05-11T23:22:38.312499
cabbage,28,76.0,3,42,1.56,0.91,afternoon,monsoon,True,30.71,2.71,normal_market,2026-05-11T10:22:38.312510
cabbage,28,76.0,3,48,1.4,1.09,evening,monsoon,False,38.1,10.1,normal_market,2026-05-11T09:22:38.312522
carrot,35,80.0,2,96,1.32,0.99,evening,summer,False,35.65,0.65,normal_market,2026-05-11T02:22:38.312533
apple,120,75.0,5,21,1.24,0.93,afternoon,winter,True,122.63,2.63,normal_market,2026-05-12T17:22:38.312545
mango,150,85.0,1,11,1.62,1.23,evening,winter,True,217.5,67.5,scarcity_price_surge,2026-05-11T08:22:38.312556
carrot,35,60.0,4,85,1.25,0.92,evening,monsoon,True,28.2,-6.8,normal_market,2026-05-11T19:22:38.312568
mango,150,25.0,5,93,0.91,1.17,evening,summer,True,120.45,-29.55,waste_prevention_discount,2026-05-13T00:22:38.312580
carrot,35,40.0,6,22,1.16,1.1,morning,summer,False,33.05,-1.95,normal_market,2026-05-10T03:22:38.312592
onion,25,88.0,3,95,1.15,1.12,morning,summer,False,28.12,3.12,normal_market,2026-05-11T22:22:38.312604
tomato,30,10.0,5,15,0.6,0.99,morning,winter,True,17.99,-12.01,weekend_peak_demand,2026-05-10T02:22:38.312616
onion,25,92.0,2,107,1.42,1.11,evening,monsoon,False,31.66,6.66,normal_market,2026-05-13T00:22:38.312628
apple,120,75.0,5,77,1.07,0.99,afternoon,winter,False,124.33,4.33,normal_market,2026-05-10T19:22:38.312641
tomato,30,0,6,63,0.41,0.89,evening,winter,False,13.5,-16.5,clearance_low_freshness,2026-05-11T03:22:38.312655
onion,25,92.0,2,23,1.22,1.0,morning,monsoon,False,32.01,7.01,normal_market,2026-05-11T18:22:38.312668
carrot,35,70.0,3,6,1.5,0.95,evening,winter,False,50.75,15.75,normal_market,2026-05-12T18:22:38.312680
onion,25,88.0,3,20,1.27,0.94,afternoon,monsoon,True,28.35,3.35,normal_market,2026-05-11T09:22:38.312694
carrot,35,60.0,4,80,1.62,0.97,evening,winter,True,47.21,12.21,normal_market,2026-05-11T21:22:38.312706
tomato,30,0,6,106,0.34,1.1,afternoon,summer,False,13.5,-16.5,waste_prevention_discount,2026-05-09T21:22:38.312718
potato,20,85.0,5,57,1.36,0.96,afternoon,summer,True,23.29,3.29,normal_market,2026-05-09T18:22:38.312731
potato,20,91.0,3,107,1.42,0.99,evening,monsoon,True,22.45,2.45,normal_market,2026-05-12T20:22:38.312743
apple,120,85.0,3,67,1.35,1.03,afternoon,monsoon,True,149.55,29.55,normal_market,2026-05-09T16:22:38.312755
carrot,35,60.0,4,108,0.97,0.86,evening,monsoon,False,24.3,-10.7,normal_market,2026-05-09T17:22:38.312768
cabbage,28,68.0,4,89,0.99,0.91,afternoon,summer,False,20.33,-7.67,normal_market,2026-05-12T03:22:38.312781
banana,40,88.0,1,89,1.62,1.18,afternoon,winter,False,51.23,11.23,normal_market,2026-05-11T00:22:38.312793
onion,25,76.0,6,93,1.23,0.97,evening,summer,False,23.69,-1.31,normal_market,2026-05-12T05:22:38.312813
banana,40,52.0,4,56,1.33,0.96,afternoon,summer,True,36.46,-3.54,normal_market,2026-05-13T06:22:38.312827
banana,40,88.0,1,16,1.53,0.91,morning,summer,True,56.85,16.85,weekend_peak_demand,2026-05-12T16:22:38.312840
potato,20,85.0,5,54,1.77,1.02,evening,winter,False,29.0,9.0,normal_market,2026-05-11T18:22:38.312852
mango,150,100.0,0,40,2.14,0.92,morning,summer,True,217.5,67.5,weekend_peak_demand,2026-05-10T16:22:38.312865
mango,150,70.0,2,94,1.35,1.02,evening,monsoon,False,148.23,-1.77,normal_market,2026-05-11T01:22:38.312886
onion,25,76.0,6,62,1.41,1.11,afternoon,monsoon,True,32.16,7.16,normal_market,2026-05-11T17:22:38.312909
potato,20,91.0,3,9,1.45,0.9,evening,winter,False,28.85,8.85,normal_market,2026-05-11T11:22:38.312930
potato,20,97.0,1,91,1.59,0.92,afternoon,summer,False,20.94,0.94,normal_market,2026-05-12T22:22:38.312953
tomato,30,46.0,3,50,0.97,1.18,afternoon,monsoon,False,34.03,4.03,normal_market,2026-05-11T11:22:38.312977
cabbage,28,60.0,5,65,1.36,1.02,afternoon,monsoon,True,29.11,1.11,normal_market,2026-05-11T04:22:38.312996
cabbage,28,92.0,1,39,1.21,1.07,afternoon,summer,False,36.43,8.43,normal_market,2026-05-12T06:22:38.313016
onion,25,100.0,0,100,1.69,0.95,evening,monsoon,False,30.46,5.46,normal_market,2026-05-11T02:22:38.313031
cabbage,28,52.0,6,15,1.37,1.1,afternoon,winter,False,40.12,12.12,normal_market,2026-05-09T12:22:38.313045
mango,150,100.0,0,118,1.3,1.08,morning,monsoon,False,182.44,32.44,normal_market,2026-05-11T18:22:38.313058
carrot,35,60.0,4,8,1.25,0.93,evening,summer,True,39.98,4.98,normal_market,2026-05-10T22:22:38.313070
apple,120,100.0,0,112,1.36,0.99,morning,winter,True,136.0,16.0,weekend_peak_demand,2026-05-10T01:22:38.313083
cabbage,28,68.0,4,41,1.13,1.11,evening,summer,False,34.04,6.04,normal_market,2026-05-12T16:22:38.313096
banana,40,40.0,5,113,0.83,1.02,evening,summer,True,26.75,-13.25,normal_market,2026-05-10T20:22:38.313109
carrot,35,90.0,1,20,2.37,0.92,morning,winter,True,50.75,15.75,weekend_peak_demand,2026-05-09T17:22:38.313122
apple,120,75.0,5,83,1.09,0.98,morning,winter,True,106.59,-13.41,weekend_peak_demand,2026-05-11T17:22:38.313135
potato,20,100.0,0,46,1.6,1.09,morning,monsoon,True,29.0,9.0,weekend_peak_demand,2026-05-12T13:22:38.313150
tomato,30,82.0,1,15,1.69,0.97,afternoon,winter,True,43.38,13.38,scarcity_price_surge,2026-05-09T21:22:38.313163
mango,150,70.0,2,100,1.31,1.1,evening,monsoon,False,158.12,8.12,normal_market,2026-05-09T17:22:38.313175
carrot,35,100.0,0,97,2.63,1.06,morning,winter,True,50.75,15.75,weekend_peak_demand,2026-05-13T02:22:38.313187
carrot,35,60.0,4,15,1.25,0.88,morning,summer,False,36.78,1.78,normal_market,2026-05-11T06:22:38.313200
banana,40,100.0,0,97,1.85,1.13,morning,winter,True,58.0,18.0,weekend_peak_demand,2026-05-13T06:22:38.313212
tomato,30,0,6,92,0.7,1.22,morning,monsoon,True,16.92,-13.08,waste_prevention_discount,2026-05-10T15:22:38.313224
apple,120,90.0,2,55,1.36,1.03,afternoon,winter,True,154.75,34.75,normal_market,2026-05-10T18:22:38.313236
cabbage,28,100.0,0,76,1.37,0.86,evening,summer,False,34.67,6.67,normal_market,2026-05-11T06:22:38.313248
onion,25,84.0,4,118,1.21,1.09,morning,monsoon,True,27.14,2.14,weekend_peak_demand,2026-05-09T06:22:38.313259
onion,25,96.0,1,112,1.62,1.04,morning,monsoon,True,31.12,6.12,weekend_peak_demand,2026-05-09T07:22:38.313271
banana,40,88.0,1,90,1.89,0.91,morning,monsoon,True,44.31,4.31,weekend_peak_demand,2026-05-09T18:22:38.313282
cabbage,28,52.0,6,57,0.9,0.93,afternoon,summer,True,21.82,-6.18,normal_market,2026-05-10T21:22:38.313306
apple,120,70.0,6,118,1.43,1.01,evening,monsoon,False,119.97,-0.03,normal_market,2026-05-10T06:22:38.313319
carrot,35,40.0,6,113,1.24,1.07,morning,monsoon,False,26.96,-8.04,normal_market,2026-05-11T20:22:38.313332
potato,20,91.0,3,70,1.25,1.05,morning,winter,True,26.95,6.95,weekend_peak_demand,2026-05-09T10:22:38.313343
mango,150,100.0,0,25,1.77,0.97,afternoon,monsoon,False,214.93,64.93,normal_market,2026-05-12T14:22:38.313357
tomato,30,46.0,3,85,1.28,1.0,afternoon,monsoon,True,25.87,-4.13,normal_market,2026-05-11T12:22:38.313369
banana,40,76.0,2,116,1.27,0.89,afternoon,winter,False,32.57,-7.43,normal_market,2026-05-11T12:22:38.313381
potato,20,97.0,1,30,1.64,0.91,evening,summer,False,27.62,7.62,normal_market,2026-05-10T09:22:38.313393
potato,20,100.0,0,33,1.93,0.93,evening,winter,False,29.0,9.0,normal_market,2026-05-12T03:22:38.313406
mango,150,100.0,0,44,2.86,0.91,afternoon,summer,True,217.5,67.5,normal_market,2026-05-12T23:22:38.313418
cabbage,28,52.0,6,37,0.97,0.94,evening,monsoon,True,24.34,-3.66,normal_market,2026-05-09T18:22:38.313433
cabbage,28,76.0,3,38,1.53,1.05,afternoon,winter,False,40.6,12.6,normal_market,2026-05-09T14:22:38.313445
potato,20,97.0,1,112,1.88,0.93,evening,summer,True,24.55,4.55,normal_market,2026-05-09T09:22:38.313458
tomato,30,28.0,4,105,0.62,0.84,afternoon,winter,False,13.5,-16.5,waste_prevention_discount,2026-05-09T16:22:38.313471
banana,40,100.0,0,120,1.82,0.86,afternoon,winter,True,42.18,2.18,normal_market,2026-05-10T21:22:38.313483
tomato,30,28.0,4,104,0.63,0.84,evening,winter,False,13.81,-16.19,waste_prevention_discount,2026-05-12T04:22:38.313495
apple,120,80.0,4,31,1.3,1.01,morning,monsoon,True,147.04,27.04,weekend_peak_demand,2026-05-10T11:22:38.313507
banana,40,88.0,1,82,1.97,0.86,morning,winter,True,42.67,2.67,weekend_peak_demand,2026-05-09T19:22:38.313519
banana,40,64.0,3,80,1.23,0.89,evening,winter,False,38.96,-1.04,normal_market,2026-05-09T17:22:38.313531
mango,150,40.0,4,57,0.94,1.13,afternoon,winter,False,129.83,-20.17,normal_market,2026-05-12T08:22:38.313542
potato,20,97.0,1,21,1.52,1.09,afternoon,monsoon,False,29.0,9.0,normal_market,2026-05-12T12:22:38.313554
apple,120,75.0,5,48,1.3,0.97,morning,winter,True,136.55,16.55,weekend_peak_demand,2026-05-11T11:22:38.313565
tomato,30,64.0,2,53,1.25,1.08,evening,monsoon,True,42.08,12.08,normal_market,2026-05-13T05:22:38.313579
cabbage,28,100.0,0,103,2.29,0.98,afternoon,winter,True,40.6,12.6,normal_market,2026-05-10T21:22:38.313591
potato,20,85.0,5,94,1.31,1.05,evening,winter,False,22.26,2.26,normal_market,2026-05-10T10:22:38.313603
carrot,35,100.0,0,117,1.25,0.9,evening,summer,False,35.99,0.99,normal_market,2026-05-10T00:22:38.313615
potato,20,97.0,1,94,1.51,0.94,morning,summer,True,22.0,2.0,weekend_peak_demand,2026-05-12T07:22:38.313628
onion,25,96.0,1,43,1.44,1.07,evening,winter,False,36.25,11.25,normal_market,2026-05-11T17:22:38.313640
mango,150,55.0,3,36,1.43,0.73,afternoon,monsoon,True,109.41,-40.59,normal_market,2026-05-12T00:22:38.313653
apple,120,100.0,0,58,1.8,0.9,afternoon,winter,True,160.7,40.7,normal_market,2026-05-11T09:22:38.313665
onion,25,92.0,2,93,1.55,0.92,afternoon,summer,False,25.14,0.14,normal_market,2026-05-12T20:22:38.313677
banana,40,40.0,5,110,0.89,1.0,afternoon,summer,False,24.74,-15.26,normal_market,2026-05-13T04:22:38.313690
carrot,35,70.0,3,35,1.53,0.88,morning,summer,False,37.11,2.11,normal_market,2026-05-11T13:22:38.313703
apple,120,90.0,2,6,1.28,0.95,afternoon,summer,False,160.59,40.59,normal_market,2026-05-12T15:22:38.313717
potato,20,88.0,4,61,1.65,1.08,morning,winter,True,29.0,9.0,weekend_peak_demand,2026-05-12T05:22:38.313729
apple,120,80.0,4,114,1.54,1.01,evening,monsoon,False,132.21,12.21,normal_market,2026-05-10T07:22:38.313742
banana,40,76.0,2,32,1.45,0.9,evening,winter,True,45.54,5.54,normal_market,2026-05-12T15:22:38.313756
onion,25,92.0,2,38,1.79,1.04,evening,summer,True,36.25,11.25,normal_market,2026-05-10T21:22:38.313775
potato,20,100.0,0,93,1.35,1.04,morning,monsoon,False,23.75,3.75,normal_market,2026-05-12T06:22:38.313790
tomato,30,100.0,0,19,1.81,0.99,morning,winter,True,43.5,13.5,scarcity_price_surge,2026-05-12T12:22:38.313803
carrot,35,100.0,0,66,1.41,0.94,evening,summer,True,47.88,12.88,normal_market,2026-05-09T18:22:38.313817
tomato,30,46.0,3,37,1.11,1.04,afternoon,summer,True,26.49,-3.51,normal_market,2026-05-10T18:22:38.313831
mango,150,70.0,2,102,1.17,1.21,evening,winter,False,167.24,17.24,temporary_market_spike,2026-05-09T19:22:38.313843
apple,120,75.0,5,14,1.39,1.04,afternoon,winter,False,164.32,44.32,normal_market,2026-05-09T20:22:38.313860
banana,40,52.0,4,113,1.07,1.15,morning,summer,True,34.94,-5.06,weekend_peak_demand,2026-05-10T07:22:38.313887
tomato,30,0,6,13,0.42,0.79,evening,winter,False,13.5,-16.5,clearance_low_freshness,2026-05-09T09:22:38.313903
potato,20,100.0,0,54,1.83,0.99,morning,summer,True,29.0,9.0,weekend_peak_demand,2026-05-12T20:22:38.313916
tomato,30,46.0,3,112,1.1,1.02,afternoon,summer,True,21.24,-8.76,normal_market,2026-05-10T20:22:38.313930
potato,20,97.0,1,49,1.67,0.99,afternoon,summer,False,28.04,8.04,normal_market,2026-05-09T16:22:38.313942
mango,150,85.0,1,67,2.23,1.23,afternoon,summer,True,217.5,67.5,temporary_market_spike,2026-05-10T16:22:38.313955
onion,25,76.0,6,66,1.02,1.02,afternoon,winter,False,26.47,1.47,normal_market,2026-05-12T21:22:38.313967
tomato,30,0,6,54,0.44,1.02,afternoon,monsoon,False,15.02,-14.98,clearance_low_freshness,2026-05-09T23:22:38.313980
apple,120,75.0,5,42,1.11,0.95,afternoon,winter,True,120.71,0.71,normal_market,2026-05-11T11:22:38.313992
onion,25,84.0,4,120,1.13,1.08,afternoon,monsoon,False,25.03,0.03,normal_market,2026-05-12T06:22:38.314007
carrot,35,70.0,3,84,1.71,0.92,morning,summer,True,33.29,-1.71,weekend_peak_demand,2026-05-12T12:22:38.314025
cabbage,28,92.0,1,79,1.22,0.93,evening,summer,False,34.3,6.3,normal_market,2026-05-09T19:22:38.314062
apple,120,85.0,3,15,1.6,0.92,afternoon,monsoon,False,164.05,44.05,normal_market,2026-05-11T10:22:38.314100
potato,20,88.0,4,120,1.65,1.04,morning,summer,True,23.88,3.88,weekend_peak_demand,2026-05-11T02:22:38.314139
potato,20,88.0,4,51,1.12,1.03,morning,summer,False,25.01,5.01,normal_market,2026-05-11T00:22:38.314183
tomato,30,10.0,5,13,0.56,1.19,afternoon,winter,True,20.31,-9.69,temporary_market_spike,2026-05-10T15:22:38.314221
onion,25,76.0,6,18,1.25,1.06,afternoon,summer,False,33.81,8.81,normal_market,2026-05-12T23:22:38.314289
potato,20,82.0,6,62,1.69,1.04,evening,monsoon,True,29.0,9.0,normal_market,2026-05-12T11:22:38.314303
mango,150,40.0,4,74,1.35,0.84,evening,summer,False,138.4,-11.6,normal_market,2026-05-12T13:22:38.314316
tomato,30,0,6,39,0.42,0.86,evening,winter,False,13.5,-16.5,clearance_low_freshness,2026-05-12T10:22:38.314329
apple,120,90.0,2,78,1.74,1.05,morning,monsoon,True,174.0,54.0,weekend_peak_demand,2026-05-09T12:22:38.314341
onion,25,88.0,3,58,1.36,0.94,morning,summer,False,30.51,5.51,normal_market,2026-05-12T02:22:38.314353
cabbage,28,92.0,1,36,2.16,1.0,morning,winter,True,40.6,12.6,weekend_peak_demand,2026-05-11T00:22:38.314364
tomato,30,82.0,1,50,1.43,1.21,afternoon,winter,False,43.5,13.5,temporary_market_spike,2026-05-12T06:22:38.314376
tomato,30,64.0,2,109,1.23,0.81,afternoon,monsoon,False,23.83,-6.17,normal_market,2026-05-10T16:22:38.314387
onion,25,92.0,2,73,1.65,0.95,evening,monsoon,True,35.07,10.07,normal_market,2026-05-11T10:22:38.314399
cabbage,28,52.0,6,11,1.48,0.88,morning,winter,False,34.7,6.7,normal_market,2026-05-11T12:22:38.314411
potato,20,88.0,4,117,1.33,0.92,evening,summer,False,19.99,-0.01,normal_market,2026-05-10T06:22:38.314422
tomato,30,28.0,4,96,0.7,0.82,morning,winter,True,13.5,-16.5,waste_prevention_discount,2026-05-12T19:22:38.314434
apple,120,70.0,6,8,1.28,1.09,afternoon,monsoon,True,161.42,41.42,normal_market,2026-05-11T01:22:38.314446
carrot,35,100.0,0,73,1.38,0.92,evening,monsoon,False,46.49,11.49,normal_market,2026-05-12T16:22:38.314457
banana,40,64.0,3,23,1.12,0.97,morning,winter,False,40.01,0.01,normal_market,2026-05-11T06:22:38.314470
carrot,35,90.0,1,48,1.18,0.9,afternoon,monsoon,False,37.52,2.52,normal_market,2026-05-12T06:22:38.314482
tomato,30,28.0,4,82,0.86,0.87,morning,monsoon,True,17.68,-12.32,waste_prevention_discount,2026-05-12T21:22:38.314494
onion,25,100.0,0,119,1.62,1.04,morning,summer,False,31.86,6.86,normal_market,2026-05-10T10:22:38.314506
tomato,30,100.0,0,23,1.87,0.77,morning,monsoon,False,43.31,13.31,normal_market,2026-05-09T23:22:38.314518
mango,150,25.0,5,118,0.53,0.92,evening,winter,False,70.86,-79.14,waste_prevention_discount,2026-05-13T04:22:38.314530
cabbage,28,100.0,0,89,1.52,0.92,afternoon,summer,False,29.3,1.3,normal_market,2026-05-11T09:22:38.314542
cabbage,28,76.0,3,38,1.6,0.88,morning,winter,True,37.18,9.18,weekend_peak_demand,2026-05-11T11:22:38.314554
cabbage,28,84.0,2,102,1.59,0.93,evening,monsoon,True,29.53,1.53,normal_market,2026-05-13T04:22:38.314566
carrot,35,100.0,0,11,2.39,1.15,morning,winter,False,50.75,15.75,scarcity_price_surge,2026-05-09T09:22:38.314578
apple,120,95.0,1,10,1.99,1.0,evening,summer,True,174.0,54.0,scarcity_price_surge,2026-05-09T21:22:38.314590
apple,120,100.0,0,52,1.59,0.91,morning,monsoon,True,161.95,41.95,weekend_peak_demand,2026-05-10T23:22:38.314601
potato,20,85.0,5,21,1.17,0.95,afternoon,winter,True,21.87,1.87,normal_market,2026-05-10T18:22:38.314613
apple,120,100.0,0,57,1.28,0.95,afternoon,winter,False,148.29,28.29,normal_market,2026-05-10T19:22:38.314625
cabbage,28,76.0,3,10,2.09,1.1,morning,winter,True,40.6,12.6,scarcity_price_surge,2026-05-09T07:22:38.314637
cabbage,28,68.0,4,20,1.2,0.97,afternoon,monsoon,True,28.1,0.1,normal_market,2026-05-12T02:22:38.314649
potato,20,97.0,1,83,1.95,1.07,evening,winter,True,28.71,8.71,normal_market,2026-05-11T08:22:38.314661
potato,20,88.0,4,71,1.48,0.97,morning,summer,True,26.01,6.01,weekend_peak_demand,2026-05-12T07:22:38.314672
potato,20,94.0,2,54,1.33,1.04,morning,winter,True,27.79,7.79,weekend_peak_demand,2026-05-10T06:22:38.314685
tomato,30,82.0,1,7,1.76,1.11,morning,monsoon,True,43.5,13.5,scarcity_price_surge,2026-05-09T10:22:38.314697
onion,25,96.0,1,57,1.65,0.92,morning,monsoon,True,33.82,8.82,weekend_peak_demand,2026-05-10T15:22:38.314709
apple,120,90.0,2,48,1.46,0.92,morning,monsoon,True,149.07,29.07,weekend_peak_demand,2026-05-11T02:22:38.314722
carrot,35,40.0,6,50,1.08,1.03,evening,summer,True,31.1,-3.9,normal_market,2026-05-12T23:22:38.314734
potato,20,85.0,5,42,1.72,1.09,evening,winter,True,29.0,9.0,normal_market,2026-05-10T18:22:38.314746
potato,20,91.0,3,98,1.59,0.93,afternoon,winter,True,20.41,0.41,normal_market,2026-05-13T00:22:38.314757
onion,25,88.0,3,120,1.81,1.03,evening,monsoon,False,31.63,6.63,normal_market,2026-05-09T21:22:38.314769
potato,20,91.0,3,88,1.65,0.97,evening,monsoon,False,23.34,3.34,normal_market,2026-05-11T03:22:38.314780
carrot,35,70.0,3,61,1.28,1.11,evening,monsoon,False,45.03,10.03,normal_market,2026-05-10T06:22:38.314792
onion,25,88.0,3,88,1.66,1.1,evening,summer,False,32.56,7.56,normal_market,2026-05-10T22:22:38.314804
mango,150,70.0,2,87,1.45,0.8,afternoon,monsoon,False,110.57,-39.43,normal_market,2026-05-11T13:22:38.314815
banana,40,76.0,2,70,1.52,1.12,morning,summer,False,56.12,16.12,normal_market,2026-05-11T03:22:38.314827
cabbage,28,68.0,4,99,1.25,1.12,evening,winter,True,34.38,6.38,normal_market,2026-05-12T14:22:38.314839
carrot,35,80.0,2,92,1.5,0.88,morning,summer,False,32.33,-2.67,normal_market,2026-05-12T07:22:38.314850
banana,40,76.0,2,36,1.44,0.94,afternoon,monsoon,True,43.93,3.93,normal_market,2026-05-10T19:22:38.314862
